codigo_unidade_gestora,nome_unidade_gestora,nome_orgao
240101,COORDENACAO-GERAL DE RECURSOS LOGISTICOS,"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto"
150002,SUBSECRETARIA DE GESTAO ADMINISTRATIVA/MEC,Ministério da Educação - Unidades com vínculo direto
560025,SECRETARIA NACIONAL DE PERIFERIAS - SNP,Ministério das Cidades - Unidades com vínculo direto
153065,UNIVERSIDADE FEDERAL DA PARAIBA,Universidade Federal da Paraíba
153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,Universidade Federal do Rio de Janeiro
153033,UNIVERSIDADE FEDERAL RURAL DO SEMI-ARIDO - RN,Universidade Federal Rural do Semi-Árido
550029,SECRETARIA NACIONAL DE PARADESPORTO,Ministério do Esporte - Unidades com vínculo direto
810006,SEC.NAC. DE PROMOCAO E DEFESA DOS DIR.HUMANOS,Ministério dos Direitos Humanos e Cidadania - Unidades com vínculo direto
180009,SECRETARIA NACIONAL ESPORTES ALTO DESEMPENHO,Ministério do Esporte - Unidades com vínculo direto
323028,AGENCIA NACIONAL DE ENERGIA ELETRICA,Agência Nacional de Energia Elétrica
340028,SECRETARIA DOS COMITES DE CULTURA,Fundo Nacional de Cultura
810029,"ASSESSORIA ESP.DEF.DEMOCRACIA,MEMORIA VERDADE",Ministério dos Direitos Humanos e Cidadania - Unidades com vínculo direto
153098,PRO-REITORIA DE POS-GRADUACAO.,Universidade Federal de Pernambuco
240025,AGENCIA BRASILEIRA DE COOPERACAO - ABC,Ministério das Relações Exteriores - Unidades com vínculo direto
